category,year,rating,vader_compound,token_len,review_text,mismatch_type
Sports,2015,4.0,-0.7257,50,"I hate packaging and labels that are hard to get off .... Works well, but the sticker on it won't come off without leaving a mess. Consider an alternative way of marking your product. I hate packaging and labels that are hard to get off and leave a sticky residue.",high_star_low_vader
Sports,2017,5.0,-0.9656,123,"Great little flashlight and the noise of this is enough to scare people/animals away.. This is very effective on annoying people that snore. I'm kidding of course, but it is tempting to use in that manner, but I've never actually needed to use it other than the flashlight which is a decent little light. I'm not sure it would even be that painful, but the noise alone is startling and scary. I go walking in the evenings when it's dark and carry this with me, mostly for the flashlight and the noise scares charging dogs. I will warn you, don't try to travel through the Canadian Border crossing with this. They are illegal up there and will be confiscated. Same with pepper spray.",high_star_low_vader
Sports,2017,4.0,-0.6882,31,"Excellent Water Bottle but where's the Recipe Book?!?!?. This water bottle comes in handy I use it everyday Unfortunately, it was missing the Recipe Book that was supposed to be included",high_star_low_vader
Sports,2023,5.0,-0.5645,135,"Very bad….. update: very good. UPDATE: customer service reached out and offered to make it right. After receiving another bottle, it works great, it's a little hard to get the water out at first sip but then it's normal flow. This one actually works and I can't actually get water out of it! So if I could give 0 stars I would. I literally ended up just throwing it away because I was done with it. When I order anything I spend hours comparing reviews, etc. as I did with this one. I was expecting it to be difficult to drink through the straw based on reviews……..but I got NO water through, my husband and I spent 30 minutes each trying to draw water up. I even bought a brand new filter and still nothing.",high_star_low_vader
Sports,2022,4.0,-0.7645,34,"No leaks, but awkward to temporarily place when partially used.. Works. Seems sturdy. Possible cons: -noisy to expand/shrink -strange looking -not sure about durability, due to constantly bending plastic when expanding -stiff when expanded",high_star_low_vader
Sports,2019,5.0,-0.8315,211,"Good customer service. Update on below review. I was able to find a customer service email, and they were extremely helpful, Replaced my board and now it is awesome. I would recommend watching a video about how to blow it up to avoid the problems I had . I loved this product when I first blew It up and used it for the first time. But then went back to the lake two weeks later and it had lost air pressure, so blew it up again, and then found out that the valve is slowly leaking air. So I was going to contact the customer service at pyleUSA.com as recommended in the packaging, but by Norton's says it is an unsafe website, now not sure how to contact manufacturer, as I don't want my computer to get infected with something. Anybody have any ideas? Today, after researching and viewing utube video. I realize the my SUP is missing the Valve that is supposed to be in the air opening. Where I put air in, it is just the big hole. there is nothing there to stop the air from flowing back out like there is in the videos I watched. Still unable to contact company, as the website is considered ""DANGEROUS""",high_star_low_vader
Sports,2019,4.0,-0.7189,11,White is not a good color for outdoor sports. Nasty fast,high_star_low_vader
Sports,2016,5.0,-0.7506,27,Bad to the bone neck knife right here. Bad to the bone neck knife right here. Rock solid as you would expect from a Cold Steel product,high_star_low_vader
Sports,2022,4.0,-0.8075,93,"My method to stop leaking. The reviewers are right. It leaks.. The item comes with 4 gaskets. One in the big lid, one in the spout fixture, one in the cover where the spout screws on, and one extra for the big lid. I doubled up the gaskets. Two for the big lid and two for the spout fixture. I removed the small gasket from the small cap. So because I don't have strong arms or big hands this is working. No leaking. It seems like the manufacturer should address the leaking problem.",high_star_low_vader
Sports,2020,5.0,-0.9324,158,"Good Enough to Function For Years, at a Replaceable Price!. Quality produce for an inexpensive price! They're well made (for the price) - solid plastic injection hardware (prob not reinforced, def not ITW grade, but also not junk), webbing is a step above the cheapest grade and does not slip in HW, elastic bungie cord is the weakest link and I suspect will be the first aspect to fail after much use, stitching isn't the greatest but all the important points are double bar-tacked for reinforcement. Not a fan of the metal clips as they aren't the most compatible but what do you expect for $8ea? These aren't made to last a lifetime but they should last years! At this price, you can't cry if it fails and if your life isn't depending upon it, it's not much of a risk to take. Buy em, try em and you'll happily wind up throwing them on your cheapest rigs.",high_star_low_vader
Sports,2016,5.0,-0.5875,8,"Not good for. Beatiful, Not good for boat",high_star_low_vader
Sports,2015,5.0,-0.5657,38,"then you realize how solid this bad boy is. Very impressed with the quality and Heft of this stand, seems overpriced until you get it out of the box, then you realize how solid this bad boy is.",high_star_low_vader
Sports,2018,4.0,-0.556,20,I don't recommend running in it. Works really well just difficult to get off. I don't recommend running in it.,high_star_low_vader
Sports,2021,4.0,-0.6196,159,"Pretty Good Socks + a Little Fix. I like these socks. I bought some that looked pretty much the same for 38 bucks, but I didn't feel any heat at all, they sucked. Same thing now selling for $28, I wonder why. I returned them. These were 55 bucks. The amount of heat isn't super-impressive, but it makes a big difference between having cold feet and comfortable feet on those winter hikes in the woods. Which I do every day now. The COVID thing. So I charge'em the socks up every night, and wear 'em every day. A little problem, when you're carrying the socks around the house, the batteries are always falling out, banging around, and putting little strains or the cords. I don't like that, that's one way things like that fail. So I put a little safety pin in so I have to stretch the fabric slightly to get the battery out for charging. Problem solved.",high_star_low_vader
Sports,2016,2.0,0.6736,97,"Wouldn't recommend. It seemed like a great purchase for my sister who was visiting but she woke up every morning with a significant deflation. She wouldn't recommend it. I meant to send it back to amazon but missed the return date. Update: I wasn't aware but I purchased the same item again this time for myself, and overnight the bed deflates significantly. There are no signs of any holes that I can patch. Had to wake up multiple times at night to inflate it. Better quality control is needed. There won't be a third time, I promise.",low_star_high_vader
Sports,2018,2.0,0.8724,93,"Returning item back to you is also now good idea, as it takes a long time and .... Dear Sirs, I'm in desperate. As my son was waiting for this gloves so long. We are not from USA so it took us a little bit longer to receive the parcel. And when we opened it we found a hole in it... we were buying new product and didn't expect such trouble. Returning item back to you is also now good idea, as it takes a long time and it's not cheap. I'm disappointed.",low_star_high_vader
Sports,2021,1.0,0.652,36,I would have preferred a new pair.. It would have been nice to get a pair that hadn't clearly been worn for a while and covered in what I hope is dog hair. I'm returning them.,low_star_high_vader
Sports,2015,2.0,0.6808,10,The size would be helpful. The size would be nice,low_star_high_vader
Sports,2021,2.0,0.8848,198,"They popped half hour later. At first I was impressed of how many things I received and was excited to use them for my daughter's first birthday. The balloon pump was great and definitely will be using it in the future, it was easy to use. My only problem and the reason why I'm not giving it five stars is because of the balloons. After we had most of the balloons done and used what we needed, they start to pop out of no where. It started after half an hour and they just randomly popped… I prepared it a night before to have everything ready the next day and guess what?! They were popping in the middle of the night, literally my husband had to pop the rest of them quietly so it won't wake our daughter while sleeping and scare her and so the neighbors don't think we are having a shooting in our apartment… it was ridiculous. And after all that mess we had another pack of the balloons so my husband did them the day of the party and I guess the other bag was a better quality cause they didn't pop as quickly.",low_star_high_vader
Sports,2017,1.0,0.6492,30,"Don't get deceived. Not as described, I used it in a very dark night, and the light beam is all scattered, actually a $5 dollar flashlight will do better .",low_star_high_vader
Sports,2019,2.0,0.7391,56,"Poor stitching. Overall, for the money, they are not bad. The padding on the knuckles and back of the hand is excellent. The issue is the thumb stitching ripped out on the gloves with in 4 uses of them. I'll have to find another pair. You get what you pay for when you purchase these gloves.",low_star_high_vader
Sports,2021,1.0,0.6056,77,"Plastic is thin and cheap. Not worth the price!! Don't Buy!!!. Cheap, Shipped without any packaging. Arrived looking used from being banged up in shipping. Bought for my granddaughters Christmas gift. I'm embarrassed to give it to her. It did arrive before Christmas but that's the best thing I can say about it. I have ordered a lot from Amazon but never been this disappointed in the quality of a product. I'm sending back for a refund.",low_star_high_vader
Sports,2023,2.0,0.9581,117,"power. the service was good, i got them in a timely manner, and they are what they are, look well made, they are pretty. my issue is with the function of the item. idk if its the type of just, or the wax thats supposed to help them burn, but i COULD NOT get them to work in the manner they are designed for. i thought if i took a lighter and lit them on fire so that the jute was charred it would take a spark easier, but that didnt help either. ill stick with the tried and true lantern wick to catch an ember. these certainly look much better, but the lamp wick actually works.",low_star_high_vader
Sports,2019,1.0,0.6124,52,"Probably wouldn't buy again. I love the fact that it comes with sleeves and it would've been nice if the caps can screw on tight. I don't know if I received defective bottles, but the caps would not tighten up. It feels like a stripped screw, it just keeps turning and turning.",low_star_high_vader
Sports,2015,1.0,0.7003,50,I saw many great reviews that spoke highly of this knife. I was very excited for this knife to arrive and was very dissapointed. I saw many great reviews that spoke highly of this knife. The deployment is terrible and slow. The blade is also really dull. Very dissapointed overall.,low_star_high_vader
Sports,2016,1.0,0.7906,52,"It seems like a fine hat. It seems like a fine hat and, now that I am looking at the picture, it shows the new logo but when I ordered this for Christmas, I specifically selected the one with the picture of the old logo. Nice hat, but, not what I ordered.",low_star_high_vader
Sports,2022,1.0,0.7954,96,"Did Not Meet Expectation. The pictures on the page showed this great-looking bag, with cool gloves and black hand wraps. The bag I received was pretty good besides the broken zipper at the very top. The Wraps I received were white with a yellow tint as if they have been used, sweated all over, then returned. The gloves were nothing like the picture. They were cheaply made with an elastic band on the back instead of a velcro strap. I paid 110 for this setup. If you pay any more than that, you're getting ripped off.",low_star_high_vader
Sports,2021,2.0,0.7634,37,Average at best!. Does not perform as well as advertised. My brother-in-law has a Yeti equivalent and his stays full of ice for almost twice as long. This one works about as good as a standard cooler.,low_star_high_vader
Sports,2019,2.0,0.6755,23,Cute and I wear them a lot but not great for working out. The head bands are really cute but the definitely slip,low_star_high_vader
Sports,2021,1.0,0.8807,31,"Never try to remove the stickers. The stickers are super super super difficult to remove. I tried every possible methods and none of them works, only leaving scars on the helmet.",low_star_high_vader
Sports,2016,2.0,0.6124,31,"makes me look like a bobble head. The Rancher is the right size but looks much too high, makes me look like a bobble head. Not what I wanted or expected.",low_star_high_vader
Sports,2023,1.0,0.5255,105,"Nice small bag but!. This bag holds a good amount a disc for the size I can fit about 13 14 disc i like it because it's small and nice to have on difficult courses I use it a lot and only had it for a couple months and the strap/ clamp broke on me and got worse then the other day I was on the course and cut myself from the clamp, the bag kept falling apart and was super annoying. The bag is pricey for not even lasting a year now I have to buy a new strap and spend more money 👎",low_star_high_vader
Sports,2022,1.0,0.8065,26,this is not 80lb line breaks off way to easy!!. I liked the color but it is not 80 lb line. breaks off way to easy.,low_star_high_vader
Sports,2016,1.0,0.8664,120,"I really like the look of this holster. Holster was too small even though specified to fit my pistol. Trigger guard area is rounded on holster where the P07 is clearly squared and won't allow the pistol to seat properly. Contacted the seller and service was mediocre until they kept on trying avoid an exchange or accommodation by requesting all sorts of nonsense, pictures and descriptions and whatnot. Really all that needed to be said was,""Send it back and we'll send you another"". I really like the look of this holster. The only positive that came of this transaction was the quality is okay and it fits an entirely different pistol I own. Experience may be different with other pistols.",low_star_high_vader
Sports,2018,1.0,0.5661,19,Cheap quality. Ended up sending it back. The material wouldn't last. Not strong at all and it stretches easily,low_star_high_vader
Sports,2018,2.0,0.9288,140,"Just not a very good line. I'm still on the lookout for a decent, cheap fly line. This isn't it. I tested on a rod I cast constantly, comparing it to the line I typically use (a Fenwick) and fond this to be a poor performer at every distance, and on every task I put it to. I can't tell for sure just why it performs so badly...possibly the front taper is ""wrong"", or the weight of the line doesn't come close to the AFFTA standard? I expect Chinese lines will someday rival American-made lines, but it looks like that will take a lot longer than I had hoped. I'll test it on another rod to see if it was a mismatch, but on a rod that I know to be superb, it should have cast better than it did.",low_star_high_vader
Sports,2016,2.0,0.5284,64,"This things are OK, but just OK. The .... This things are OK, but just OK. The pins are not fixed into the back plate, so trying to assemble a chain results in the pins being pushed out of the plate enough that they make it very difficult to set the link and join the chain ends. They work, with some effort and care.",low_star_high_vader
Sports,2017,2.0,0.9417,33,Get what you paid for.. The seat works I like the shoulder strap but I wish I would have paid 10$ more for a better one. It's very light so that's a positive.,low_star_high_vader
Sports,2018,1.0,0.5338,88,Its not reliable.. The main thing for a laserfinder has to be quickness and accuracy. This has neither. It picks up everything around the pin and is unreliable with yardage. My buddy has a Bushnell and when I compared my yardage to his it was accurate about 1 of every 4 times. My recommendation is to pay more because in this product field the more you pay the better the product. Not true for all products but for this one it is true. Do not buy this product.,low_star_high_vader
Sports,2022,2.0,0.7959,17,Super short. I recommend a longer one. 5/5 on pain relief idk if it's cheap.. Hurts great!,low_star_high_vader
Sports,2022,1.0,0.6124,58,"Pop Off Too Easily. These caps remove easily, unfortunately they pop off too easily. They were secured in my van and my other lids have not released if they fall over, these ones came off easily and dumped about 3 gallons of water into my van. Thankfully I had a shop vac but I'll be buying new caps.",low_star_high_vader
Sports,2016,2.0,0.6108,88,I am sorry to say I was not pleased with the suit. I am sorry to say I was not pleased with the suit. I could not figure out the sizing so I ordered 2 different sizes. The smaller one was still to big. the cups in the suit were very large and could keep me afloat. Not my style. I loved the style only wish I could have made it work. I wear a sz 12 and ordered a sz. XXXL..I just could figure my true size.,low_star_high_vader
Sports,2023,1.0,0.6941,38,Didn't work. I returned these gloves after one use. It took 15 minutes for the left hand to heat up. It took 30 minutes for the right hand to heat up. The right thumb never did get warm.,low_star_high_vader
Sports,2021,1.0,0.8837,58,"These came so so late!!!. These look pretty good I just am holding back all my love for these because they came so late, I missed my opportunity to use them. I had ordered them for an event that they missed. The delivery date came and went more then 4 times eeeek. Otherwise they are probably decent bottles",low_star_high_vader
Sports,2022,2.0,0.6306,162,"Very nice rod. Poorly made reel.. I'm a fairly experienced fisherman. Trips to Canada, etc. I was excited to take my 4 year old granddaughter fishing for the first time and decided to string up the outfit before I left the house. Unfortunately, I was unable to use this outfit because the line would not release from the reel. It was caught under the gear. I took the reel apart to get it unstuck by loosening the main set screw when the thing just collapsed in my hands. I got it put together, but it still would't release any line. Safe to say, it was very cheaply made. I didn't expect much at this cost, but I thought it would get us through our first day of fishing. I'm tossing the reel, but will keep the rod. I'll find another lightweight spin casting reel to replace it. I don't advise the purchase of this item. This is not a typical Zebco product.",low_star_high_vader
Sports,2021,2.0,0.8442,32,I'd love it but.... Came defective. The dust cap is not at all connected to the tube. Definitely seems it'll keep my water cold as it should but would love a replacement.,low_star_high_vader
Sports,2017,1.0,0.7847,76,"My Wife Did Not Like for Little Ones--Caps Tough/Tricky. The headline hits at the issue. We have 3 kids--ages 7, 7, and 8. The caps on these bottles were just too tricky. By the time they put enough force on the caps to pop them off, they's be spilling the water all over the place. We ended up going with Camelbak Chute bottles, and we LOVE THEM! Check out those. Sure, more expensive, but much better.",low_star_high_vader
Sports,2022,2.0,0.7508,103,"Will not last / waste of money. I like almost everything about this watch except that one would expect for it to last longer than 15 months. The ""hook"" that attaches the wristband broke off and cannot be attached back. I realized that many people have this problem often only after 7 months (and with other Fitbit models as well). I had other smart watches for much less money in the past and they lasted longer. They had other issues (charging, skin sensitivity) but spending more money on Fitbit clearly didn't solve these problem just replaced them. I would never buy Fitbit again.",low_star_high_vader
Sports,2018,1.0,0.7476,42,"Not worth the money. Bought this for a backpacking trip to Italy thinking it would be great that it folded down however it folded whenever it wanted, the mouthpiece is to small to comfortable drink from it is not worth the money!",low_star_high_vader
Sports,2022,1.0,0.7372,35,Please don't waste your money. Takes forever to inflate and deflates slowly throughout the night. The comfort coil technology is a scheme. This bed is no better for comfort than anything else on the market.,low_star_high_vader
Sports,2017,1.0,0.9755,265,"started great, quickly failed. Update: This light sucks when you compare the cost versus value. After 2 months, it became very difficult to turn on / off. I contacted customer support and was told the ball that rests in the switch often comes off its track. This is a known problem and the only solution is to try and realign the ball within the track. It can be realigned, but only works for a couple of pushes they fall back out of place. Oh, and the lifetime warranty works if you want to pay and have it shipped back to Cateye, meanwhile you're without a light for 2-4 weeks. What is the point? Below you will see my original review touting the amazing amount of light. Any amount of light doesn't matter if the device leaves you in the dark due to a faulty switch. If you need a good light, this is what you want. This light has a total of five settings: strobe only, low-light with strobe, low light, medium light and high light. The high beam offers 1600 lumens and has great light dispersion. A neat feature, three taps of the power when on high will lower you to a lower light output. Then, two taps on the power will return you to the high beam. This allows you to toggle back and forth when changing light settings, without scrolling through all 5. I found this helpful when encountering others riding towards me. Think of it like using your high beams when driving. Run time is at least as good as advertised.",low_star_high_vader
Sports,2015,2.0,0.6249,145,"Wayyyy smaller than expected.. I ordered the Large size knee wraps. I wear a men's size 9 shoe and I could not get these things fully over my feet. I tugged at and worked with one of them for a good five minutes or so, rested, tried a few minutes more, and then I decided that this was way too long to be spending trying to get one of them on. If you are extremely patient and have an hour or two to kill you may get one on; also if you have very small feet or are not fully grown these might fit you. They are clearly good quality and will do the job for a much smaller or more patient person. If you *do* have the patience to put one on, though, be prepared to cut it off. They did arrive very quickly.",low_star_high_vader
Sports,2023,1.0,0.75,26,Did not have TENS Unit. Just got it and did not have the TENS Unit. Ordered a replacement so hopefully turns out better the second time.,low_star_high_vader
Sports,2022,1.0,0.7933,31,Exploded when new and can't get money back. Really cool design and easy to maneuver but it exploded after three uses of now I can't get my money back. Pretty shady,low_star_high_vader
Sports,2022,2.0,0.9159,80,"Sloppy quality of assembly. The glass edges are glued together with clear silicone and it's done sloppy as if by a 12 year old, which might actually be true since the origins of this product are unknown - there is no industrial quality packaging. Strains of silicone are found on the glass sides and the corners are done unevenly. The shipping packaging was great and the quality of the materials is good, but the assembly could certainly use more care.",low_star_high_vader
Sports,2015,2.0,0.8658,145,"Loved it until the display failed within two weeks of purchase. I loved it initially but the display stopped functioning in less than two weeks from purchase date. It would turn on with a double tap and then split and slide two different directions followed by a screen full of gibberish. The swipe and long press functionality no longer worked. Until the display failed it was a great compact fitness tracker that fit comfortably, wasn't too large, band worked well and never fell off. The Android app (Connect) could use some user-friendly updates but had all the basic functions one would expect from a fitness tracking app. For instance, the sleep tracking information provided by the Android app was severely lacking compared to either the Jawbone or Fitbit apps, but I found that the online version through Garmin actually provided more information that the app.",low_star_high_vader
Sports,2019,1.0,0.6626,43,"Very Slippery!. I was looking for a thicker mat to help ease pressure on my knees. Bought this at Costco for a great price, but it is so slippery, i had to put my socks on to get thru class! I'm returning this!",low_star_high_vader
Sports,2018,1.0,0.9274,75,"NOT SO WATERPROOF.. I first thought this was perfect. it was super cute, small, fit everything i needed. I bought this because i was running a race and knew that water was going to be involved. The zipper unzipped twice on me, both i noticed after i was drenched. So as of now my keyless car remote no longer works and my phone is not working either. Water definitely made it inside this ""waterproof"" pouch.",low_star_high_vader
Sports,2018,2.0,0.9761,44,"Was hoping for good luck but.... Light, comfortable, but every time I wear them Caps lose so... I was hoping for good luck charms but seems like the ear rings will be simply a fashion statement as the Caps give it up as usual",low_star_high_vader
Sports,2016,2.0,0.7579,35,I still use it but I'd like for it to be more sturdy. It tore at the seam after one camping trip. I still use it but I'd like for it to be more sturdy.,low_star_high_vader
Sports,2022,1.0,0.5813,43,Not Colors Indicated. I ordered red and black bags. I received blue/yellow and blue/purple bags with red and black cases for the bags. That would be fine but the bag covers have zippers. I don't want zippers denting and scratching my nice boards.,low_star_high_vader
Sports,2020,2.0,0.8135,63,Spring a leak on second use. First day it was great. A little more unstable than other I have had but not too bad. The second day we blew it up and it had two leaks around the hole where you pump it up. It steadily lost air all day so we had to return it. Luckily returns on amazon are fairly simple.,low_star_high_vader
Sports,2021,2.0,0.6187,92,"Lasted about 18 months. It works well as a small, easily maneuverable bike. The lcd counter is a bit flimsy. I broke the clip after about one month by bumping it wrong - but that isn't why I am giving it 2 stars. The seat (pictured) has completely cracked to the point it is unusable. I have weighed between 175 and 185 for the duration I have used this bike. Well below the reported 220 pound limit. I give it 2 stars instead of 1, because it was decent while it lasted.",low_star_high_vader
Sports,2023,2.0,0.5267,22,"Nice cover for cheap. Cover is nice, fits well, good price. But mine only lasted 8 months before it leaks/ falling apart.",low_star_high_vader
